instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Clarinet_Bb,gorge,Viola,suraigu,355,366,11,1391,1095,296,0.898,/o/–/å/
Clarinet_Bb,chalumeau,Violoncello_Ensemble,suraigu,215,204,11,1315,1247,68,0.891,/u/
Viola,grave,Violin,aigu,366,355,11,1305,1228,77,0.889,/o/–/å/
Viola,suraigu,Violin,aigu,366,355,11,1095,1228,133,0.889,/o/–/å/
Bass_Tuba,grave,Violoncello_Ensemble,suraigu,215,204,11,978,1247,269,0.874,/u/
Bass_Tuba,médium,Violoncello_Ensemble,grave,204,193,11,1000,1155,155,0.874,/u/
Bass_Tuba,médium,Violoncello_Ensemble,médium,204,193,11,1000,1208,208,0.874,/u/
Flute,grave,Trumpet_C,médium,333,322,11,1377,1306,71,0.873,autre
Contrabass,grave,Contrabass_Ensemble,médium,161,172,11,1207,1188,19,0.871,/u/
Contrabass,médium,Contrabass_Ensemble,médium,161,172,11,1204,1188,16,0.871,/u/
Contrabass,aigu,Contrabass_Ensemble,grave,172,161,11,1253,1127,126,0.871,/u/
Viola_Ensemble,grave,Violin_Ensemble,médium,355,344,11,1304,1231,73,0.870,autre
Viola_Ensemble,aigu,Violin_Ensemble,aigu,366,355,11,1292,1234,58,0.870,/o/–/å/
Viola_Ensemble,suraigu,Violin_Ensemble,médium,333,344,11,1136,1231,95,0.870,autre
Clarinet_Bb,gorge,Violin_Ensemble,médium,355,344,11,1391,1231,160,0.839,autre
Horn,médium,Viola,médium,322,333,11,1006,1317,311,0.836,autre
Flute,grave,Horn,médium,333,322,11,1377,1006,371,0.835,autre
Flute,médium,Horn,aigu,495,484,11,1436,1014,422,0.835,/o/–/å/
Contrabass_Ensemble,aigu,Violoncello_Ensemble,suraigu,193,204,11,1225,1247,22,0.834,/u/
Contrabass_Ensemble,suraigu,Violoncello_Ensemble,suraigu,193,204,11,1258,1247,11,0.834,/u/
Bass_Tuba,suraigu,Horn,médium,333,322,11,1042,1006,36,0.833,autre
Bass_Tuba,grave,Trombone,pédale,215,226,11,978,996,18,0.823,/u/
Bass_Tuba,médium,Trombone,grave,204,215,11,1000,1006,6,0.823,/u/
Trumpet_C,médium,Viola_Ensemble,suraigu,322,333,11,1306,1136,170,0.822,autre
Bass_Tuba,grave,Violoncello,suraigu,215,204,11,978,1270,292,0.812,/u/
Bass_Tuba,médium,Violoncello,grave,204,193,11,1000,1149,149,0.812,/u/
Bass_Tuba,médium,Violoncello,médium,204,193,11,1000,1199,199,0.812,/u/
Bassoon,grave,Flute,médium,506,495,11,1127,1436,309,0.811,/o/–/å/
Bassoon,aigu,Flute,suraigu,570,559,11,1099,1449,350,0.811,autre
Viola_Ensemble,grave,Violin,médium,355,366,11,1304,1115,189,0.805,/o/–/å/
Viola_Ensemble,aigu,Violin,aigu,366,355,11,1292,1228,64,0.805,/o/–/å/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,grave,172,161,11,1257,1127,130,0.787,/u/
Bass_Clarinet_Bb,médium,Contrabass_Ensemble,médium,183,172,11,1270,1188,82,0.787,/u/
Clarinet_Bb,gorge,Violin,médium,355,366,11,1391,1115,276,0.780,/o/–/å/
Bass_Clarinet_Bb,aigu,Violin_Ensemble,médium,333,344,11,1278,1231,47,0.776,autre
Contrabass_Ensemble,aigu,Violoncello,suraigu,193,204,11,1225,1270,45,0.775,/u/
Contrabass_Ensemble,suraigu,Violoncello,suraigu,193,204,11,1258,1270,12,0.775,/u/
Bass_Tuba,médium,Clarinet_Bb,chalumeau,204,215,11,1000,1315,315,0.766,/u/
Horn,aigu,Trumpet_C,grave,484,495,11,1014,1259,245,0.731,/o/–/å/
Bass_Clarinet_Bb,aigu,Trumpet_C,médium,333,322,11,1278,1306,28,0.729,autre
Bassoon,grave,Trumpet_C,grave,506,495,11,1127,1259,132,0.701,/o/–/å/
Oboe,grave,Trombone,médium,312,301,11,1430,1007,423,0.651,autre
Bass_Tuba,suraigu,Violin_Ensemble,médium,333,344,11,1042,1231,189,0.561,autre
Bass_Tuba,suraigu,Trumpet_C,médium,333,322,11,1042,1306,264,0.512,autre
Horn,pédale,Trombone,grave,236,215,21,911,1006,95,0.995,/u/
Horn,médium,Trombone,médium,322,301,21,1006,1007,1,0.995,autre
Bass_Clarinet_Bb,grave,Violoncello,grave,172,193,21,1257,1149,108,0.984,/u/
Bass_Clarinet_Bb,grave,Violoncello,médium,172,193,21,1257,1199,58,0.984,/u/
Bass_Clarinet_Bb,médium,Violoncello,suraigu,183,204,21,1270,1270,0,0.984,/u/
Trombone,grave,Violoncello,aigu,215,236,21,1006,1251,245,0.974,/u/
Contrabass,aigu,Violoncello_Ensemble,grave,172,193,21,1253,1155,98,0.963,/u/
Contrabass,aigu,Violoncello_Ensemble,médium,172,193,21,1253,1208,45,0.963,/u/
Bass_Clarinet_Bb,grave,Violoncello_Ensemble,grave,172,193,21,1257,1155,102,0.955,/u/
Bass_Clarinet_Bb,grave,Violoncello_Ensemble,médium,172,193,21,1257,1208,49,0.955,/u/
Bass_Clarinet_Bb,médium,Violoncello_Ensemble,suraigu,183,204,21,1270,1247,23,0.955,/u/
Trombone,grave,Violoncello_Ensemble,aigu,215,236,21,1006,1277,271,0.948,/u/
Clarinet_Bb,chalumeau,Violoncello,aigu,215,236,21,1315,1251,64,0.947,/u/
Violin,aigu,Violin_Ensemble,suraigu,355,376,21,1228,1242,14,0.934,/o/–/å/
Clarinet_Bb,chalumeau,Horn,pédale,215,236,21,1315,911,404,0.931,/u/
Flute,grave,Viola_Ensemble,médium,333,312,21,1377,1336,41,0.926,autre
Bass_Clarinet_Bb,aigu,Viola_Ensemble,médium,333,312,21,1278,1336,58,0.917,autre
